Gene	WT-1	WT-2	rhpS-1	rhpS-2
PSPPH_0806	4	12	4	3
cheY1	10	15	1	5
PSPPH_0808	14	15	21	6
ndh	274	376	67	22
PSPPH_0810	20	26	10	6
PSPPH_0811	44	41	14	8
PSPPH_0812	15	25	11	0
PSPPH_0813	47	52	11	4
PSPPH_0814	9	27	2	1
PSPPH_0815	362	745	157	73
PSPPH_0816	15	17	8	2
coaE	34	38	11	3
pilD	19	31	13	4
pilC	43	73	17	6
pilB	78	144	40	21
PSPPH_0821	23	50	105	41
PSPPH_0822	2	1	1	2
PSPPH_0823	15	26	13	4
PSPPH_0825	96	156	29	13
PSPPH_0826	48	56	22	5
PSPPH_0827	70	96	17	10
PSPPH_0828	50	65	12	7
PSPPH_0829	30	34	8	6
PSPPH_0830	32	76	9	6
PSPPH_0831	49	84	23	10
PSPPH_0832	90	144	23	17
terZ	369	452	73	34
terA	450	620	76	25
terB	102	167	27	13
terC	638	904	114	53
terD	366	544	67	36
terE	390	644	94	56
PSPPH_0839	85	118	23	23
PSPPH_0840	71	113	21	10
nadC	122	170	43	12
PSPPH_0842	321	418	171	69
ampD	40	36	31	5
ampE	40	52	18	11
PSPPH_0845	32	42	21	3
fruR	114	137	66	20
PSPPH_0847	306	362	34	27
fruK	84	126	12	7
PSPPH_0849	171	219	38	17
phbA1	122	166	19	17
PSPPH_0851	103	121	45	15
pgi	830	1103	430	146
panC	96	165	23	18
panB	121	176	44	14
folK2	17	42	1	0
pcnB	112	186	72	33
PSPPH_0857	69	104	65	32
PSPPH_0858	41	75	40	15
PSPPH_0859	7	5	6	4
PSPPH_0860	33	29	10	4
dksA2	227	311	170	71
PSPPH_0862	27	53	13	13
sfsA	8	18	1	3
PSPPH_0864	7	15	1	1
deoC	8	20	5	2
PSPPH_0866	28	34	17	8
PSPPH_0867	174	294	73	26
PSPPH_0868	75	132	51	17
PSPPH_0869	218	287	49	24
PSPPH_0870	37	58	13	7
PSPPH_0871	17	25	11	3
ilvB	167	267	68	21
ilvN	37	68	16	8
ilvC	301	424	87	36
pssA1	79	102	43	28
PSPPH_0876	22	42	18	11
PSPPH_0877	11	27	5	5
PSPPH_0883	5	25	8	0
PSPPH_0884	171	254	53	24
PSPPH_0885	34	57	6	2
PSPPH_0886	98	126	22	16
PSPPH_0887	25	37	10	9
rimI	10	12	6	6
PSPPH_0889	2	13	1	2
PSPPH_0890	48	77	95	39
PSPPH_0891	24	37	9	3
PSPPH_0892	37	39	12	4
PSPPH_0893	1	4	0	0
PSPPH_0895	0	5	4	0
PSPPH_0896	2	14	5	1
PSPPH_0897	52	65	39	15
PSPPH_0898	14	29	22	14
PSPPH_0899	1	2	0	0
PSPPH_0900	48	67	31	11
PSPPH_0901	62	98	41	18
PSPPH_0902	58	90	35	13
PSPPH_0903	7	46	6	1
PSPPH_0904	21	40	9	5
PSPPH_0905	6	9	2	0
PSPPH_0906	40	67	67	27
PSPPH_0907	17	32	11	7
PSPPH_0908	32	71	11	5
PSPPH_0909	7	15	6	2
phoD	21	30	9	4
PSPPH_0911	5	10	0	0
PSPPH_0912	2	2	2	0
tonB2	3	6	0	0
PSPPH_0914	7	37	3	3
PSPPH_0915	6	14	2	0
PSPPH_0916	5	7	6	0
PSPPH_0917	2	1	0	0
PSPPH_0918	3	7	3	2
PSPPH_0919	116	141	13	14
PSPPH_0920	38	97	18	14
PSPPH_0921	49	86	41	31
PSPPH_0922	67	83	66	26
PSPPH_0923	29	60	30	10
PSPPH_0924	16	20	10	7
aroA	156	200	41	18
chrR	24	31	5	1
PSPPH_0927	13	22	4	2
PSPPH_0929	1	7	3	0
PSPPH_0930	1	0	2	0
PSPPH_0931	16	29	10	0
