Gene	WT-1	WT-2	rhpS-1	rhpS-2
PSPPH_3704	11	21	11	11
PSPPH_3705	83	123	32	10
PSPPH_3706	20	25	10	6
PSPPH_3707	44	56	24	7
PSPPH_3708	82	105	58	20
PSPPH_3709	71	121	11	18
purM	225	337	140	65
purN	39	80	13	7
PSPPH_3712	146	230	97	38
PSPPH_3713	10	22	3	2
PSPPH_3714	103	166	43	28
mazG	38	76	18	7
relA	126	162	43	12
rumA	42	77	11	6
cysM	81	129	45	19
gacS	56	135	35	12
PSPPH_3720	41	58	26	8
PSPPH_3721	32	44	18	7
PSPPH_3722	72	112	32	5
arsC	19	39	9	7
PSPPH_3724	44	60	8	7
PSPPH_3725	42	78	19	6
PSPPH_3726	68	100	50	25
PSPPH_3727	9	20	6	3
dctA	20	40	24	11
PSPPH_3729	36	50	15	7
phoP	85	57	35	15
PSPPH_3731	8	9	2	2
PSPPH_3732	88	101	61	29
PSPPH_3733	11	25	0	3
PSPPH_3734	13	19	3	0
PSPPH_3735	5	12	2	1
PSPPH_3736	4	13	5	4
rstA	17	30	18	5
nrdA	1280	1931	582	256
PSPPH_3739	12	26	17	4
PSPPH_3740	0	1	0	0
PSPPH_3741	6	17	2	0
PSPPH_3742	9	40	1	2
PSPPH_3743	5	54	2	1
PSPPH_3744	2	4	0	0
nrdB	269	403	159	68
PSPPH_3746	2	98	1	1
PSPPH_3747	0	2	0	0
PSPPH_3748	3	36	4	4
PSPPH_3749	14	28	2	2
PSPPH_3750	5	82	10	5
PSPPH_3751	6	36	0	1
PSPPH_3752	6	32	2	2
iucD	26	76	6	5
PSPPH_3754	11	48	14	8
PSPPH_3755	34	34	17	5
PSPPH_3756	3	22	4	1
PSPPH_3757	6	33	1	1
PSPPH_3758	8	56	2	8
PSPPH_3759	28	84	11	6
PSPPH_3760	9	55	21	6
PSPPH_3763	22	37	21	8
PSPPH_3764	12	26	11	8
PSPPH_3765	302	412	225	113
pal	1375	1906	508	219
tolB	865	1230	440	187
tolA	174	275	97	37
tolR2	75	117	38	17
tolQ2	153	240	85	56
PSPPH_3771	51	80	39	17
ruvB	78	123	45	12
ruvA	40	67	38	7
ruvC	32	35	17	6
PSPPH_3775	150	221	65	26
aspS	608	856	176	78
PSPPH_3777	5	11	0	0
PSPPH_3778	121	187	39	24
PSPPH_3779	40	43	32	10
PSPPH_3780	8	7	6	3
PSPPH_3781	16	36	11	7
PSPPH_3782	556	759	208	98
proS	466	663	157	76
PSPPH_3784	81	121	27	13
dinP	13	28	6	1
PSPPH_3788	96	134	59	20
PSPPH_3789	69	121	48	16
kup	52	68	34	5
PSPPH_3791	5	15	4	1
PSPPH_3792	48	68	79	20
PSPPH_3793	5	6	2	0
PSPPH_3794	32	31	20	5
PSPPH_3795	17	41	8	1
PSPPH_3796	32	58	16	4
fpr1	477	730	547	252
PSPPH_3798	36	35	10	2
dgkA	19	13	11	4
PSPPH_3800	46	60	44	20
PSPPH_3801	23	29	14	6
PSPPH_3802	110	107	80	32
PSPPH_3803	63	102	29	18
recX	25	47	9	3
recA	306	482	66	27
PSPPH_3806	10	42	16	7
mutS	204	286	57	34
fdxA	105	128	74	24
rpoS	178	228	132	61
PSPPH_3810	110	160	95	32
pcm	53	45	19	9
surE	61	68	19	8
truD	40	56	24	5
ispF	26	45	20	9
PSPPH_3815	138	193	10	7
adhC	334	477	33	11
PSPPH_3817	27	43	14	4
ispD	32	58	19	9
ftsB	53	53	21	16
eno	592	923	253	129
kdsA	169	246	82	42
pyrG	500	677	315	119
tilS	38	65	29	21
accA	174	283	252	98
dnaE	231	281	101	47
rnhB	26	65	13	9
lpxB	53	87	32	17
lpxA	60	114	49	25
fabZ	61	81	43	22
lpxD	141	227	103	46
PSPPH_3831	100	149	72	36
PSPPH_3832	645	851	321	138
PSPPH_3833	159	207	153	53
dxr	56	122	38	18
cdsA	61	68	25	17
uppS	126	183	70	25
frr	144	221	96	45
pyrH	316	476	202	77
tsf	746	990	307	131
rpsB	889	1327	480	214
map2	108	174	44	25
glnD	151	230	59	33
dapC	110	146	50	18
PSPPH_3844	5	20	5	1
PSPPH_3845	86	78	45	16
PSPPH_3846	242	325	148	64
PSPPH_3847	64	72	38	18
PSPPH_3848	5	16	3	4
PSPPH_3849	25	48	23	8
dapE	195	254	57	16
rrmA	54	66	4	2
PSPPH_3852	35	62	23	11
plsB	65	105	25	14
PSPPH_3854	0	6	1	1
PSPPH_3855	0	2	0	0
PSPPH_3856	48	59	37	15
PSPPH_3857	31	44	12	5
PSPPH_3858	1	9	3	0
PSPPH_3859	5	11	4	1
PSPPH_3860	17	21	11	2
PSPPH_3861	24	36	39	18
PSPPH_3862	35	42	16	11
adk	260	318	131	54
PSPPH_3864	5	3	1	1
ppc	284	350	71	24
PSPPH_3866	2	4	3	0
PSPPH_3867	129	160	51	27
PSPPH_3868	175	231	87	41
PSPPH_3869	4	11	0	1
PSPPH_3870	34	63	16	10
PSPPH_3871	120	178	68	32
PSPPH_3872	26	40	14	8
lysS	285	433	113	54
prfB	243	375	124	57
wspR	91	136	80	44
PSPPH_3876	35	58	47	22
PSPPH_3877	98	108	86	30
wspD	25	32	17	12
wspC	28	35	16	19
wspB	17	32	11	2
wspA	98	136	127	79
PSPPH_3883	75	78	14	7
PSPPH_3884	3	6	0	3
PSPPH_3885	2	7	6	0
argG	276	367	93	39
PSPPH_3887	6	12	7	1
pyrC	208	316	77	27
rnt	65	78	15	9
PSPPH_3890	2	4	1	1
bfr1	214	315	249	109
PSPPH_3892	79	114	43	14
PSPPH_3893	32	53	22	4
PSPPH_3894	38	36	19	7
argF	84	95	20	17
PSPPH_3896	37	67	14	6
ybaK	13	13	8	1
glpF	16	27	27	11
glpK	99	143	43	23
glpR	46	68	23	5
glpD	200	310	814	314
PSPPH_3902	128	186	29	16
PSPPH_3903	35	36	8	1
PSPPH_3904	12	29	6	2
PSPPH_3905	52	57	17	15
PSPPH_3906	24	47	9	3
PSPPH_3907	34	62	11	5
PSPPH_3908	40	66	12	11
PSPPH_3910	80	115	33	28
metR	47	66	5	7
PSPPH_3912	26	31	6	3
ddlA	106	151	61	27
PSPPH_3914	0	0	0	0
PSPPH_3915	15	13	13	2
PSPPH_3916	12	29	9	2
PSPPH_3917	3	32	1	0
PSPPH_3918	1	23	0	0
PSPPH_3919	0	21	0	0
PSPPH_3920	1	29	1	0
PSPPH_3921	1	52	1	0
PSPPH_3922	12	45	31	14
PSPPH_3923	13	20	4	1
PSPPH_3924	4	25	10	0
PSPPH_3925	14	24	6	1
PSPPH_3926	12	25	10	2
gcd	215	280	37	13
PSPPH_3928	27	41	29	16
PSPPH_3929	17	36	18	5
PSPPH_3930	9	10	7	5
PSPPH_3931	18	42	23	10
PSPPH_3932	32	30	23	9
PSPPH_3933	21	47	23	9
PSPPH_3934	31	46	20	10
PSPPH_3935	5	16	5	0
PSPPH_3936	44	80	15	4
PSPPH_3937	8	7	3	0
PSPPH_3938	8	22	3	1
PSPPH_3939	9	21	7	3
PSPPH_3940	0	7	2	1
lon2	1569	2211	322	131
PSPPH_3942	26	44	18	6
PSPPH_3943	15	45	22	9
PSPPH_3944	29	32	13	4
pdxJ	70	82	27	8
recO	14	25	6	1
era	70	135	55	35
rnc	46	67	38	12
PSPPH_3949	14	34	10	8
lepB	67	116	66	24
lepA	273	429	148	67
mucD	496	761	199	93
mucB	270	391	160	70
mucA	570	956	287	130
rpoE	440	665	252	100
nadB	74	111	46	14
PSPPH_3957	3	12	5	1
PSPPH_3958	5	5	11	0
PSPPH_3959	204	276	83	42
PSPPH_3960	40	71	22	8
PSPPH_3961	27	35	10	4
tctD	19	25	10	3
PSPPH_3963	13	16	6	0
PSPPH_3964	3	3	0	0
PSPPH_3966	27	38	8	1
ung	85	100	41	14
PSPPH_3968	1	2	2	0
PSPPH_3969	42	49	53	10
PSPPH_3970	0	1	3	0
PSPPH_3971	2	7	0	3
PSPPH_3972	6	7	2	1
PSPPH_3973	4	13	0	1
PSPPH_3974	0	2	0	0
PSPPH_3975	17	45	9	4
PSPPH_3976	10	21	3	4
PSPPH_3977	0	0	0	0
PSPPH_3978	24	64	15	12
PSPPH_3979	5	15	3	2
rsuA	10	15	5	5
PSPPH_3981	12	35	58	28
PSPPH_3983	2	22	4	1
bdh2	10	49	1	1
PSPPH_3986	10	36	1	3
PSPPH_3987	2	40	2	1
PSPPH_3988	7	57	5	0
PSPPH_3989	10	38	8	1
PSPPH_3990	56	113	49	22
pnlA	110	209	129	64
PSPPH_3993	195	276	143	63
adhB	823	1098	725	266
PSPPH_3995	38	66	13	10
PSPPH_3996	5	52	11	1
PSPPH_3998	28	48	9	7
PSPPH_3999	50	92	14	8
bglX	261	332	94	30
PSPPH_4001	36	38	7	4
PSPPH_4002	19	33	9	7
PSPPH_4003	39	71	27	10
hscC	127	199	48	15
PSPPH_4005	66	96	23	11
PSPPH_4007	6	10	0	3
PSPPH_4008	44	53	18	1
PSPPH_4009	9	12	0	0
PSPPH_4010	44	78	27	12
PSPPH_4011	22	35	9	2
ttgR	26	57	35	12
PSPPH_4013	1167	1637	340	151
PSPPH_4014	2002	2795	449	206
PSPPH_4015	853	1238	262	130
pcaT	16	21	13	12
pcaF	48	77	5	3
catJ	20	34	4	2
catI	33	42	12	5
pcaR	37	67	13	10
PSPPH_4021	43	49	23	11
PSPPH_4022	143	232	125	45
PSPPH_4023	7	24	6	1
purU2	135	205	61	37
PSPPH_4025	306	447	110	68
sbcB	38	74	33	10
PSPPH_4027	9	25	11	1
PSPPH_4028	8	27	8	0
PSPPH_4029	16	21	5	0
PSPPH_4030	16	27	6	2
PSPPH_4031	21	48	12	4
PSPPH_4033	0	1	1	0
PSPPH_4034	3	4	1	0
PSPPH_4036	32	37	22	11
PSPPH_4037	23	38	64	26
PSPPH_4038	5	9	4	1
pyk	539	739	168	65
PSPPH_4040	23	34	9	4
PSPPH_4041	536	793	169	72
PSPPH_4042	35	61	14	3
PSPPH_4043	30	69	11	5
PSPPH_4046	3	2	1	1
PSPPH_4047	4	6	2	0
PSPPH_4048	5	10	3	3
PSPPH_4049	22	30	7	0
PSPPH_4050	8	18	9	4
PSPPH_4051	1	8	1	1
PSPPH_4052	13	20	7	0
PSPPH_4053	1	6	1	0
PSPPH_4054	3	7	2	0
PSPPH_4055	10	10	6	1
PSPPH_4056	1	6	0	0
PSPPH_4057	38	30	4	1
xenB	52	79	35	12
PSPPH_4059	14	27	6	2
PSPPH_4060	149	191	83	33
PSPPH_4061	37	71	25	14
iciA	6	12	6	1
PSPPH_4063	22	20	28	22
sodB	824	1141	312	136
PSPPH_4065	55	97	38	17
PSPPH_4066	106	174	31	20
PSPPH_4067	19	34	24	9
PSPPH_4068	24	27	6	5
PSPPH_4069	60	67	7	7
PSPPH_4070	48	91	43	12
PSPPH_4071	8	17	17	1
PSPPH_4072	48	64	38	18
PSPPH_4073	14	19	17	10
colS	29	59	10	11
colR	38	64	10	12
PSPPH_4076	22	34	13	5
groEL	8672	12852	2000	936
groES	1726	2136	424	235
PSPPH_4079	156	190	58	21
PSPPH_4080	55	91	39	17
PSPPH_4081	192	222	69	26
PSPPH_4082	6	17	4	2
PSPPH_4083	37	57	21	11
PSPPH_4084	5	7	1	2
PSPPH_4087	0	0	0	0
PSPPH_4089	21	74	11	3
PSPPH_4090	0	1	0	0
PSPPH_4091	10	18	2	3
PSPPH_4092	120	151	48	24
PSPPH_4093	112	161	41	19
PSPPH_4095	28	51	17	7
PSPPH_4096	38	48	26	7
PSPPH_4097	99	115	36	24
PSPPH_4098	77	108	24	15
argJ	270	393	116	41
secA	1620	2377	444	200
PSPPH_4101	7	19	12	4
lpxC	370	539	174	78
ftsZ	1003	1490	347	129
ftsA	208	345	86	43
PSPPH_4105	25	38	24	9
ddlB	63	97	29	15
murC	196	261	78	42
murG	35	72	10	5
ftsW	52	91	21	7
murD	107	135	42	22
mraY	82	107	33	24
murF	128	167	35	30
murE	148	203	37	19
ftsI	80	97	49	13
ftsL	12	15	14	5
mraW	81	91	36	18
mraZ	45	50	23	17
PSPPH_4118	50	65	23	7
PSPPH_4119	327	448	87	39
PSPPH_4120	12	31	8	3
gmhA	37	53	25	1
PSPPH_4122	93	111	35	10
sspB	24	32	23	3
sspA	36	59	24	16
rpsI	280	483	167	96
rplM	667	942	473	233
PSPPH_4127	16	26	3	3
PSPPH_4128	153	228	56	19
trpS	169	280	64	32
PSPPH_4130	84	103	29	19
PSPPH_4131	116	131	72	28
cysNC	330	508	115	48
cysD	193	291	100	34
PSPPH_4134	62	110	33	12
PSPPH_4135	45	63	36	11
hisC	165	249	82	33
hisD	137	224	50	18
hisG	85	94	31	15
murA	304	407	114	45
PSPPH_4140	22	44	18	2
PSPPH_4141	19	50	17	6
ttg2D	156	205	60	30
PSPPH_4143	44	70	15	9
PSPPH_4144	80	76	16	10
PSPPH_4145	112	175	63	28
kdsD	85	105	66	19
PSPPH_4147	31	25	18	4
PSPPH_4148	22	42	17	5
PSPPH_4149	100	164	53	24
PSPPH_4150	125	223	81	43
rpoN	244	311	130	54
yfiA	104	140	62	20
ptsN	54	81	32	10
PSPPH_4154	74	89	66	23
ptsH	17	18	5	3
sodA	3	9	2	0
PSPPH_4157	0	0	0	0
PSPPH_4158	0	1	0	1
PSPPH_4159	2	1	0	0
fumC2	12	18	6	2
PSPPH_4161	2	4	0	0
pmbA	592	853	126	58
PSPPH_4163	97	122	32	19
tldD	668	969	195	88
PSPPH_4165	43	62	13	1
PSPPH_4166	60	127	38	8
PSPPH_4167	5	4	0	0
cafA	87	131	27	16
maf2	19	43	10	1
mreD	14	16	5	2
mreC	78	108	28	14
mreB	513	737	300	147
gatC	69	97	37	19
gatA	470	622	117	53
gatB	344	561	107	42
PSPPH_4176	28	72	13	4
PSPPH_4177	17	36	3	4
pcaC2	21	22	12	8
PSPPH_4179	34	41	24	11
PSPPH_4180	31	46	13	2
PSPPH_4181	25	31	22	5
PSPPH_4182	48	92	28	22
PSPPH_4183	2	5	3	0
PSPPH_4184	33	43	17	6
pnp	571	799	293	126
rpsO	645	824	529	199
truB	163	297	146	72
rbfA	102	131	69	35
infB	1081	1577	588	305
nusA	440	676	342	163
PSPPH_4191	83	100	91	49
secG	51	99	80	30
tpiA	197	258	276	99
glmM	417	668	148	70
folP	138	193	85	35
ftsH	1413	2000	681	271
rrmJ	94	144	75	24
PSPPH_4200	59	78	35	19
greA	128	176	108	57
carB	1105	1535	643	306
carA	674	974	578	244
dapB	353	480	69	35
dnaJ	1034	1383	277	108
dnaK	8309	12071	1644	1010
grpE	1190	1868	267	104
recN	150	202	65	20
fur	93	116	55	26
omlA	124	178	68	24
PSPPH_4211	5	7	3	3
PSPPH_4212	10	15	3	2
PSPPH_4213	20	47	23	13
smpB	34	50	19	9
PSPPH_4215	24	25	13	7
PSPPH_4217	35	73	11	9
PSPPH_4218	3	100	2	0
PSPPH_4219	1	84	4	1
PSPPH_4220	23	40	10	3
pin	109	122	26	7
PSPPH_4222	19	27	10	10
PSPPH_4223	22	61	64	23
PSPPH_4224	61	108	36	18
PSPPH_4225	26	45	9	1
PSPPH_4226	22	38	8	1
PSPPH_4227	1	0	1	2
PSPPH_4228	14	15	6	4
katG	474	658	341	192
PSPPH_4230	7	19	6	1
PSPPH_4231	2	6	1	2
nhaA2	19	17	0	1
PSPPH_4234	13	12	7	0
PSPPH_4235	17	12	1	1
PSPPH_4236	3	9	1	0
PSPPH_4237	15	22	11	11
PSPPH_4238	25	35	19	13
PSPPH_4239	14	38	12	1
PSPPH_4240	8	29	9	4
PSPPH_4241	51	63	12	1
PSPPH_4242	23	27	3	0
PSPPH_4243	3	11	2	0
PSPPH_4244	12	38	15	3
PSPPH_4245	70	75	29	15
PSPPH_4246	12	11	4	1
PSPPH_4247	38	66	23	9
PSPPH_4248	14	15	7	4
PSPPH_4249	9	11	4	0
garD	91	142	34	15
PSPPH_4251	13	33	7	1
PSPPH_4252	38	41	1	0
PSPPH_4253	82	105	36	16
PSPPH_4254	26	76	28	7
PSPPH_4255	72	93	47	13
PSPPH_4256	14	36	20	2
PSPPH_4257	86	92	20	10
PSPPH_4258	187	263	41	16
PSPPH_4259	323	419	64	34
PSPPH_4260	176	220	41	17
PSPPH_4261	382	556	38	17
PSPPH_4262	228	407	48	23
PSPPH_4263	97	127	18	8
dppC	84	123	7	2
PSPPH_4265	97	166	17	9
PSPPH_4266	134	149	15	10
PSPPH_4267	1	0	0	0
PSPPH_4268	20	50	10	7
PSPPH_4269	6	33	1	0
PSPPH_4270	3	5	4	1
PSPPH_4271	12	37	6	2
PSPPH_4272	0	9	3	0
PSPPH_4273	312	459	141	62
PSPPH_4274	9	23	6	3
PSPPH_4275	2	0	1	0
PSPPH_4276	40	66	13	9
PSPPH_4277	16	29	4	1
PSPPH_4278	10	30	2	0
PSPPH_4279	16	21	1	3
prfC	155	246	71	30
PSPPH_4281	5	15	5	2
PSPPH_4282	234	295	61	27
PSPPH_4283	26	25	11	2
PSPPH_4284	3	4	1	0
PSPPH_4285	1	1	1	0
PSPPH_4286	1	1	3	0
PSPPH_4287	27	64	31	12
PSPPH_4288	508	714	80	27
PSPPH_4289	196	267	114	39
PSPPH_4290	60	94	33	14
PSPPH_4291	6	10	9	1
greB2	12	9	7	1
PSPPH_4293	210	334	61	18
PSPPH_4294	52	89	28	18
PSPPH_4295	119	177	54	22
PSPPH_4296	116	199	75	16
PSPPH_4297	20	38	10	8
PSPPH_4298	11	25	12	4
PSPPH_4299	31	96	4	0
PSPPH_4300	27	114	2	0
cysC1	27	61	5	2
PSPPH_4302	71	172	5	8
PSPPH_4303	107	172	8	6
PSPPH_4304	46	52	2	3
PSPPH_4305	52	118	10	3
PSPPH_4306	171	213	5	9
PSPPH_4307	169	276	13	1
dcd2	49	87	6	0
PSPPH_4309	29	46	2	1
PSPPH_4310	31	91	1	3
PSPPH_4311	99	144	9	1
PSPPH_4312	59	62	2	2
argD	121	158	15	10
PSPPH_4314	37	42	2	1
PSPPH_4315	114	182	5	7
PSPPH_4316	215	376	32	22
PSPPH_4317	217	443	56	21
PSPPH_4318	310	495	67	43
argK	313	519	51	24
PSPPH_4320	91	190	79	36
PSPPH_4321	11	25	19	5
PSPPH_4322	14	26	8	5
PSPPH_4323	11	19	7	3
PSPPH_4324	16	20	11	3
hopAE1	16	47	11	4
glyA1	566	798	202	68
PSPPH_4328	46	71	30	16
PSPPH_4329	6	9	3	1
cstA	113	160	21	10
PSPPH_4331	5	14	14	5
radA	111	117	51	25
mscL	38	59	66	31
fpr2	68	105	13	11
PSPPH_4335	1	0	0	2
PSPPH_4336	4	3	0	0
PSPPH_4337	77	91	24	7
PSPPH_4338	0	5	4	1
cydB	21	30	9	5
cydA	28	48	22	8
PSPPH_4342	6	19	4	1
PSPPH_4343	6	8	2	2
PSPPH_4344	88	113	30	15
trmA	52	66	15	7
PSPPH_4346	41	48	3	2
PSPPH_4347	36	71	14	6
PSPPH_4348	103	118	57	27
PSPPH_4349	19	36	7	5
tesB	63	84	34	12
PSPPH_4351	10	8	5	0
PSPPH_4352	22	30	13	3
PSPPH_4353	28	49	19	6
PSPPH_4354	66	121	42	22
PSPPH_4355	66	75	10	4
PSPPH_4356	30	41	6	3
PSPPH_4357	38	49	18	5
PSPPH_4358	47	90	19	7
PSPPH_4359	326	398	53	17
PSPPH_4360	14	25	18	6
PSPPH_4361	31	36	24	5
PSPPH_4362	1	1	0	1
PSPPH_4363	9	21	9	6
PSPPH_4364	5	30	1	2
PSPPH_4365	0	3	0	0
hopI1	14	26	6	0
PSPPH_4367	14	18	2	3
PSPPH_4368	23	30	12	3
PSPPH_4369	35	62	8	5
PSPPH_4370	40	71	17	4
gal	98	110	32	7
kptA	16	28	32	16
PSPPH_4373	15	30	8	2
PSPPH_4374	47	66	19	6
PSPPH_4375	91	130	28	7
PSPPH_4376	69	83	67	17
PSPPH_4377	33	49	12	6
rluE	20	25	3	5
amn	224	328	38	17
PSPPH_4380	146	232	102	46
PSPPH_4381	18	42	30	17
PSPPH_4382	35	49	23	8
thiE	22	38	10	6
hemL	220	259	51	24
PSPPH_4385	41	54	47	12
PSPPH_4386	2	11	4	5
miaB	159	250	64	30
PSPPH_4388	231	308	99	55
PSPPH_4389	51	53	23	10
PSPPH_4390	100	158	37	13
cutE	99	136	30	9
PSPPH_4392	10	27	16	7
PSPPH_4393	7	5	16	8
leuS	398	545	129	62
PSPPH_4395	89	109	48	22
holA	82	135	45	16
PSPPH_4397	7	7	12	1
PSPPH_4398	109	151	53	15
lipA	166	224	79	33
lipB	47	93	19	4
PSPPH_4401	25	55	12	10
PSPPH_4402	369	554	115	67
PSPPH_4403	13	17	13	7
PSPPH_4404	70	81	47	18
mltB	57	82	27	12
rodA	14	29	15	5
mrdA	48	70	20	10
PSPPH_4408	47	66	17	16
PSPPH_4409	21	42	26	13
nadD	24	51	21	6
proA	150	225	83	36
PSPPH_4412	10	16	5	1
PSPPH_4413	14	12	9	4
PSPPH_4414	40	54	14	7
PSPPH_4415	22	44	33	5
PSPPH_4416	42	85	37	13
PSPPH_4417	4	13	9	4
PSPPH_4418	0	7	0	3
PSPPH_4419	13	20	10	5
PSPPH_4420	19	33	13	1
PSPPH_4421	103	213	44	20
PSPPH_4422	53	42	7	8
PSPPH_4423	35	53	20	11
speA	175	214	52	25
PSPPH_4425	5	17	3	1
PSPPH_4426	8	16	2	4
dinF	28	40	8	5
PSPPH_4428	139	221	49	19
PSPPH_4429	16	30	13	2
pbpC	30	52	5	2
PSPPH_4431	41	50	16	12
PSPPH_4432	1	6	3	0
PSPPH_4433	15	27	15	2
PSPPH_4434	19	28	10	3
PSPPH_4435	20	20	7	5
PSPPH_4436	33	50	13	7
PSPPH_4437	6	17	3	2
PSPPH_4438	3	12	3	1
PSPPH_4439	9	17	8	4
PSPPH_4440	7	7	0	1
dsbD	33	62	31	16
aroQ	89	132	70	20
accB2	193	277	90	59
accC2	495	687	162	81
prmA	80	117	62	24
PSPPH_4446	78	108	31	17
dusB	32	58	71	28
fis	23	22	6	5
purH	214	322	128	49
purD	196	289	84	35
PSPPH_4451	57	118	45	12
PSPPH_4452	8	15	4	1
PSPPH_4453	6	13	2	0
PSPPH_4454	7	8	3	0
PSPPH_4455	1	8	1	0
PSPPH_4456	3	11	1	3
PSPPH_4457	32	67	15	10
cobI	25	42	12	1
cobH	23	23	3	3
PSPPH_4460	41	51	11	5
cobL	43	67	5	4
cbiD	12	37	5	0
PSPPH_4463	22	22	4	1
PSPPH_4464	4	11	2	2
PSPPH_4465	6	13	1	1
PSPPH_4466	7	20	6	0
PSPPH_4467	16	41	6	3
PSPPH_4468	37	73	21	6
PSPPH_4469	9	27	7	2
PSPPH_4470	8	23	6	3
PSPPH_4471	8	11	5	0
PSPPH_4472	9	16	2	1
PSPPH_4473	6	14	5	2
ureD	14	48	8	5
ureA	33	56	21	6
PSPPH_4476	32	45	14	3
ttr	32	45	15	10
ureB	25	38	10	6
ureC	218	317	67	40
PSPPH_4480	3	19	5	5
PSPPH_4481	61	101	51	25
PSPPH_4482	630	824	213	79
PSPPH_4483	0	1	0	0
PSPPH_4484	39	63	19	5
PSPPH_4485	26	43	30	8
PSPPH_4486	7	10	33	14
PSPPH_4487	10	19	8	2
PSPPH_4488	1	3	0	1
osmE	59	48	13	3
PSPPH_4490	28	28	15	2
PSPPH_4491	39	64	7	8
PSPPH_4492	5	11	2	0
PSPPH_4493	34	37	35	17
PSPPH_4494	49	69	14	9
PSPPH_4495	20	24	16	5
ureE	3	7	0	1
ureF	3	8	5	1
ureG	3	12	4	2
PSPPH_4499	9	18	2	1
PSPPH_4500	23	28	4	3
ribA	89	105	32	11
thiL	75	93	10	14
nusB	88	180	40	18
PSPPH_4504	128	171	61	13
ribBA2	303	473	79	33
ribE	157	223	31	20
ribD	100	138	29	21
PSPPH_4508	22	40	27	11
PSPPH_4509	49	66	10	8
PSPPH_4510	26	54	18	2
PSPPH_4511	63	88	28	7
PSPPH_4512	17	17	5	7
PSPPH_4513	3	6	5	3
PSPPH_4514	30	64	17	8
PSPPH_4515	31	43	10	7
PSPPH_4516	60	74	16	6
PSPPH_4517	23	38	22	4
PSPPH_4518	635	908	362	165
PSPPH_4519	67	104	32	11
PSPPH_4520	80	135	22	17
PSPPH_4521	36	49	8	7
cpoF	9	24	2	0
PSPPH_4523	22	46	6	2
PSPPH_4524	16	36	4	0
PSPPH_4525	7	9	4	0
PSPPH_4526	13	154	5	1
PSPPH_4527	3	43	1	1
PSPPH_4528	1	6	1	0
PSPPH_4529	34	61	14	5
ugpB	1	17	7	0
ugpA	3	8	4	0
ugpE	3	13	2	1
ugpC	1	12	1	1
PSPPH_4534	4	6	3	0
PSPPH_4535	56	82	17	7
PSPPH_4536	34	40	9	2
PSPPH_4537	180	221	65	28
PSPPH_4538	148	264	159	80
PSPPH_4539	161	364	151	99
PSPPH_4541	2	46	2	1
PSPPH_4542	5	45	2	2
PSPPH_4543	0	15	1	0
PSPPH_4544	4	57	4	2
PSPPH_4545	27	127	13	6
PSPPH_4546	41	113	17	9
PSPPH_4547	83	134	21	13
PSPPH_4548	78	140	18	4
PSPPH_4549	25	97	10	9
PSPPH_4550	48	136	21	8
PSPPH_4551	52	112	9	7
PSPPH_4552	9	30	2	1
PSPPH_4553	6	75	2	2
PSPPH_4554	18	99	2	4
PSPPH_4555	45	121	13	9
PSPPH_4556	32	71	7	5
PSPPH_4557	30	94	14	9
PSPPH_4558	48	61	15	6
PSPPH_4559	0	3	1	0
PSPPH_4560	30	67	4	0
PSPPH_4562	101	127	78	36
uvrA	281	321	59	30
bfr2	196	258	120	57
katA	7	26	2	4
rplQ	510	718	200	69
rpoA	1472	2353	494	285
rpsD	882	1212	237	151
rpsK	501	803	224	116
rpsM	505	789	286	148
rpmJ	155	186	73	28
secY	1023	1565	401	201
rplO	370	609	144	63
rpmD	48	79	7	12
rpsE	365	539	118	44
rplR	277	416	113	63
rplF	588	1055	309	150
rpsH	468	692	246	102
rpsN	294	510	118	46
rplE	580	992	229	102
rplX	173	310	58	41
rplN	332	516	112	64
rpsQ	178	313	75	37
rpmC	42	57	17	4
rplP	442	673	180	79
rpsC	575	989	291	149
rplV	351	548	156	110
rpsS	224	376	125	45
rplB	960	1659	380	234
rplW	156	311	67	37
rplD	872	1335	348	150
rplC	1044	1634	471	236
rpsJ	718	889	402	165
tuf	2667	4103	1201	614
fusA	2332	3852	1036	552
rpsG	854	1310	483	240
rpsL	686	1116	390	200
rpoC	3598	5464	2011	934
rpoB	3331	5141	1512	717
rplL	510	781	179	107
rplJ	865	1355	386	156
rplA	572	962	335	136
rplK	518	611	264	146
nusG	172	307	245	103
secE	53	78	59	20
PSPPH_4610	22	28	8	10
PSPPH_4611	19	41	13	6
PSPPH_4612	106	122	97	32
mmsA2	97	134	76	44
PSPPH_4619	34	65	60	32
PSPPH_4620	6	14	4	4
PSPPH_4621	10	13	5	0
PSPPH_4622	30	55	19	9
PSPPH_4623	22	39	8	4
PSPPH_4624	7	15	2	0
PSPPH_4625	3	9	2	0
PSPPH_4626	7	15	1	0
PSPPH_4627	93	133	6	7
PSPPH_4628	22	37	9	2
PSPPH_4629	4	15	7	5
fecB	12	11	3	0
fecC	5	11	2	1
fecD	3	9	1	0
PSPPH_4633	4	7	1	0
PSPPH_4634	2	11	6	2
PSPPH_4635	19	35	8	1
add	55	98	48	15
PSPPH_4637	69	103	30	22
PSPPH_4638	16	15	5	0
PSPPH_4639	16	27	4	1
PSPPH_4640	56	77	18	11
PSPPH_4641	15	19	4	1
PSPPH_4642	17	24	14	7
PSPPH_4643	375	533	5	5
cueR	40	53	11	0
PSPPH_4645	240	264	63	28
PSPPH_4646	3	21	3	1
PSPPH_4647	368	444	273	104
